task_id,source,synthetic_count,synthetic_share,tail_score,group,success_rate_reference,service_stage,openx_calibrated_tail_gain_pp,openx_calibration_bucket,openx_bucket_predicted_gain_pp,openx_calibration_multiplier,base_synthetic_share,openx_calibrated_synthetic_share,openx_calibrated_synthetic_count,scenario_spec
standard_pick_place,qtail_pt_synthetic,9786.321960755962,0.09786321960755963,0.10999999999999999,head,0.87,ready_for_synthetic_renderer,34.06074345111847,q1,-32.02482125925599,0.35950357481488027,0.09786321960755963,0.03325879308226097,3325.8793082260972,standard_pick_place | tail_score=0.10999999999999999 | calibrated_share=0.03325879308226097
tabletop_push,qtail_pt_synthetic,8951.691256067155,0.08951691256067155,0.12993607036799668,head,0.84,ready_for_synthetic_renderer,34.06074345111847,q1,-32.02482125925599,0.35950357481488027,0.08951691256067155,0.030422302517300815,3042.2302517300814,tabletop_push | tail_score=0.12993607036799668 | calibrated_share=0.030422302517300815
button_press,qtail_pt_synthetic,9701.529440844753,0.09701529440844753,0.14815921133870177,head,0.82,ready_for_synthetic_renderer,34.06074345111847,q2,-12.70996353650844,0.7458007292698312,0.09701529440844753,0.06839853219683448,6839.853219683448,button_press | tail_score=0.14815921133870177 | calibrated_share=0.06839853219683448
block_stack,qtail_pt_synthetic,8321.696233869772,0.08321696233869771,0.1913263699174056,medium,0.78,ready_for_synthetic_renderer,34.06074345111847,q2,-12.70996353650844,0.7458007292698312,0.08321696233869771,0.058670317010866675,5867.031701086667,block_stack | tail_score=0.1913263699174056 | calibrated_share=0.058670317010866675
door_handle_turn,qtail_pt_synthetic,8704.334584053056,0.08704334584053056,0.23661770346432393,medium,0.74,ready_for_synthetic_renderer,34.06074345111847,q3,5.962198933502805,1.119243978670056,0.08704334584053056,0.09209670987904925,9209.670987904925,door_handle_turn | tail_score=0.23661770346432393 | calibrated_share=0.09209670987904925
cluttered_drawer_open,qtail_pt_synthetic,6899.5269133520405,0.0689952691335204,0.5364940490893719,tail,0.51,ready_for_synthetic_renderer,34.06074345111847,q3,5.962198933502805,1.119243978670056,0.0689952691335204,0.07300083909984519,7300.083909984519,cluttered_drawer_open | tail_score=0.5364940490893719 | calibrated_share=0.07300083909984519
reflective_bottle_grasp,qtail_pt_synthetic,8639.684700901964,0.08639684700901964,0.6078435753080309,tail,0.46,ready_for_synthetic_renderer,34.06074345111847,q4,9.875068804012699,1.197501376080254,0.08639684700901964,0.09780424098199805,9780.424098199805,reflective_bottle_grasp | tail_score=0.6078435753080309 | calibrated_share=0.09780424098199805
wet_cloth_fold_corner,qtail_pt_synthetic,9825.418960982626,0.09825418960982626,0.6539389479684603,tail,0.39,ready_for_synthetic_renderer,34.06074345111847,q4,9.875068804012699,1.197501376080254,0.09825418960982626,0.11122716592987644,11122.716592987645,wet_cloth_fold_corner | tail_score=0.6539389479684603 | calibrated_share=0.11122716592987644
transparent_cup_pick,qtail_pt_synthetic,11933.241328658076,0.11933241328658076,0.7416072361927393,tail,0.34,ready_for_synthetic_renderer,34.06074345111847,q5,28.89745308596048,1.5779490617192096,0.11933241328658076,0.17800621897420738,17800.621897420737,transparent_cup_pick | tail_score=0.7416072361927393 | calibrated_share=0.17800621897420738
thin_cable_insert,qtail_pt_synthetic,17236.554620514602,0.17236554620514602,0.9419999999999704,tail,0.22,ready_for_synthetic_renderer,34.06074345111847,q5,28.89745308596048,1.5779490617192096,0.17236554620514602,0.25711488032776064,25711.488032776066,thin_cable_insert | tail_score=0.9419999999999704 | calibrated_share=0.25711488032776064
