task_id,source,synthetic_count,synthetic_share,tail_score,group,success_rate_reference
standard_pick_place,qtail_pt_synthetic,9786.321960755962,0.09786321960755963,0.10999999999999999,head,0.87
tabletop_push,qtail_pt_synthetic,8951.691256067155,0.08951691256067155,0.12993607036799668,head,0.84
button_press,qtail_pt_synthetic,9701.529440844753,0.09701529440844753,0.14815921133870177,head,0.82
block_stack,qtail_pt_synthetic,8321.696233869772,0.08321696233869771,0.1913263699174056,medium,0.78
door_handle_turn,qtail_pt_synthetic,8704.334584053056,0.08704334584053056,0.23661770346432393,medium,0.74
cluttered_drawer_open,qtail_pt_synthetic,6899.5269133520405,0.0689952691335204,0.5364940490893719,tail,0.51
reflective_bottle_grasp,qtail_pt_synthetic,8639.684700901964,0.08639684700901964,0.6078435753080309,tail,0.46
wet_cloth_fold_corner,qtail_pt_synthetic,9825.418960982626,0.09825418960982626,0.6539389479684603,tail,0.39
transparent_cup_pick,qtail_pt_synthetic,11933.241328658076,0.11933241328658076,0.7416072361927393,tail,0.34
thin_cable_insert,qtail_pt_synthetic,17236.554620514602,0.17236554620514602,0.9419999999999704,tail,0.22
