task_id,source_count,source_share,success_rate,difficulty,rarity,tail_score,group
standard_pick_place,720.0,0.27293404094010615,0.87,0.24,0.0,0.10999999999999999,head
tabletop_push,640.0,0.24260803639120546,0.84,0.27,0.007635711928881463,0.12993607036799668,head
button_press,510.0,0.19332827899924185,0.82,0.29,0.023687136308226164,0.14815921133870177,head
block_stack,380.0,0.14404852160727824,0.78,0.36,0.04739193314979018,0.1913263699174056,medium
door_handle_turn,260.0,0.09855951478392722,0.74,0.42,0.08359489658738654,0.23661770346432393,medium
cluttered_drawer_open,44.0,0.016679302501895376,0.51,0.76,0.3833201090874933,0.5364940490893719,tail
reflective_bottle_grasp,31.0,0.011751326762699014,0.46,0.81,0.48076350068451323,0.6078435753080309,tail
wet_cloth_fold_corner,26.0,0.009855951478392721,0.39,0.83,0.5365309954854673,0.6539389479684603,tail
transparent_cup_pick,18.0,0.006823351023502654,0.34,0.88,0.6702383026505316,0.7416072361927393,tail
thin_cable_insert,9.0,0.003411675511751327,0.22,0.96,0.9999999999999343,0.9419999999999704,tail
